"SOURCE","TARGET","WEIGHT"
100011,01111110000000000000,1
100100,00111001100000000000,1
100100,00111100000000000000,2
100100,00111101100000000000,2
100100,00111110000000000000,2
100100,00111111010000000001,1
100100,01010100000000000000,1
100100,01011101100000000000,1
100101,00010001100000000000,1
100101,00010001110000000001,1
100101,00010100000000000000,1
100101,00010110000000000000,1
100101,00010111110000000001,1
100101,00011000110000000001,1
100101,00011110000000000000,2
100101,00011111000000000000,1
100101,00011111100000000000,1
100101,00011111110100000000,1
100101,00110110000000000000,1
100101,00110110100000000000,2
100101,00110111000000000000,1
100101,00110111100000000000,1
100101,00111000000000000000,2
100101,00111000010000000001,1
100101,00111000100000000000,1
100101,00111001110000000001,1
100101,00111100000000000000,3
100101,00111100010000000001,1
100101,00111100100000000000,1
100101,00111100110000000100,1
100101,00111101010001000000,1
100101,00111101100000000000,1
100101,00111110000000000000,4
100101,00111110100000000000,1
100101,00111110110000000001,1
100101,00111111000000000000,1
100101,00111111010000000001,1
100101,00111111100000000000,3
100101,01010000100000000000,1
100101,01010110100000000000,1
100101,01010111100000000000,1
100101,01011000010100100000,1
100101,01011110000000000000,1
100101,01110110000000000000,1
100101,01111000000000000000,2
100101,01111000100000000000,1
100101,01111001100000000000,1
100101,01111101100000000000,1
100101,01111110111000101100,1
100101,01111111000000000000,1
100101,01111111100000000000,4
100110,00010110000000000000,2
100110,00011100110100100000,1
100110,00011101100000000000,1
100110,00110110100000000000,1
100110,00111110100000000000,1
100110,01010000000000000000,1
100110,01010000100000000000,1
100110,01010110000000000000,1
100110,01010110010000100000,1
100110,01011110000000000000,1
100110,01111100100000000000,1
100111,00010100000000000000,1
100111,00010111100000000000,2
100111,00011000000000000000,1
100111,00011000100000000000,1
100111,00011110000000000000,2
100111,00011110010000000001,1
100111,00011110100000000000,2
100111,00011110110100000001,1
100111,00011111100000000000,1
100111,00110110000000000000,1
100111,00111000000000000000,1
100111,00111000100000000000,1
100111,00111001100000000000,1
100111,00111100000000000000,2
100111,00111100010000000001,1
100111,00111100100000000000,2
100111,00111101000000000000,1
100111,00111101100000000000,2
100111,00111110000000000000,5
100111,00111110100000000000,4
100111,00111111000000000000,1
100111,00111111010000001100,1
100111,00111111100000000000,3
100111,01010001000000000000,1
100111,01010100000000000000,1
100111,01010110000000000000,1
100111,01010110100000000000,2
100111,01010111100000000000,1
100111,01011111000000000000,1
100111,01110111100000000000,1
100111,01111000000000000000,1
100111,01111001000000000000,1
100111,01111100000000000000,1
100111,01111100100000000000,1
100111,01111110000000000000,4
100111,01111110100000000000,2
100111,01111111000000000000,2
100111,01111111100000000000,4
101010,01011111100000000000,1
101011,01110110100000000000,1
101101,01111110100000000000,1
101101,01111111100000000000,1
101111,00011110100000000000,1
101111,00111110110000000001,1
101111,00111111100000000000,1
101111,01010110010110000000,1
101111,01011000010000000001,1
110011,01111110000000000000,1
110111,01011100010000000001,1
111111,01111000000000000000,1
