SEQN,CBD010,CBQ020,CBQ030,CBQ040,CBQ050,CBQ060,CBD070,CBD090,CBD110,CBD120,CBD130,CBQ140,CBD150,CBD160,CBD170,CBD180,CBQ190
41534.0,2.0,1.0,2.0,3.0,5.0,2.0,342.0,0.0,0.0,40.0,0.0,2.0,10.0,7.0,180.0,666.0,nan
41535.0,2.0,3.0,1.0,3.0,5.0,4.0,100.0,0.0,0.0,0.0,20.0,3.0,10.0,4.0,60.0,4.0,3.0
41536.0,2.0,2.0,2.0,1.0,5.0,2.0,350.0,100.0,100.0,80.0,40.0,3.0,20.0,7.0,60.0,18.0,18.0
41537.0,2.0,2.0,3.0,1.0,5.0,3.0,857.0,428.0,40.0,100.0,0.0,2.0,10.0,7.0,180.0,6.0,6.0
41538.0,nan,4.0,4.0,3.0,5.0,3.0,20.0,0.0,0.0,300.0,100.0,4.0,8.0,0.0,nan,666.0,nan
41539.0,2.0,1.0,4.0,3.0,1.0,4.0,200.0,40.0,0.0,50.0,0.0,2.0,10.0,6.0,45.0,666.0,nan
41540.0,2.0,1.0,1.0,1.0,5.0,1.0,600.0,0.0,200.0,40.0,22.0,2.0,20.0,0.0,nan,7.0,7.0
41541.0,2.0,1.0,1.0,1.0,1.0,1.0,428.0,128.0,0.0,857.0,0.0,3.0,30.0,5.0,60.0,0.0,nan
41542.0,1.0,1.0,2.0,4.0,5.0,4.0,257.0,42.0,150.0,0.0,0.0,1.0,15.0,7.0,120.0,7.0,7.0
41543.0,2.0,1.0,1.0,3.0,1.0,1.0,300.0,0.0,0.0,200.0,0.0,1.0,8.0,7.0,120.0,7.0,7.0
41544.0,2.0,1.0,1.0,3.0,5.0,1.0,1285.0,0.0,0.0,999999.0,0.0,1.0,5.0,4.0,60.0,3.0,3.0
41545.0,2.0,1.0,1.0,1.0,5.0,3.0,300.0,0.0,0.0,100.0,0.0,2.0,10.0,7.0,120.0,0.0,nan
41546.0,1.0,1.0,1.0,3.0,1.0,3.0,385.0,42.0,100.0,200.0,25.0,2.0,5.0,6.0,45.0,14.0,13.0
